user_id,name,email,phone,signup_date,platform,region,user_type
U00001,Samantha Anderson,samantha.anderson1@fooddash.com,+12255614226,2023-07-10,ios,eu,power
U00002,Anna Lopez,anna.lopez2@fooddash.com,+18048078673,2023-01-25,ios,us_east,returning
U00003,Patricia Bailey,patricia.bailey3@fooddash.com,+14038038374,2023-06-21,ios,us_east,casual
U00004,Charles Hughes,charles.hughes4@fooddash.com,+16326708456,2023-08-04,ios,asia,returning
U00005,Barbara Carter,barbara.carter5@fooddash.com,+12997022674,2024-10-20,ios,us_east,new
U00006,Ryan Morgan,ryan.morgan6@fooddash.com,+13277350753,2023-03-03,android,eu,returning
U00007,George Kelly,george.kelly7@fooddash.com,+13962166941,2023-02-05,android,eu,casual
U00008,Sandra Gonzalez,sandra.gonzalez8@fooddash.com,+15895663623,2023-12-19,android,us_east,returning
U00009,Anthony Bennett,anthony.bennett9@fooddash.com,+14732197935,2024-04-18,android,us_west,new
U00010,Cynthia Carter,cynthia.carter10@fooddash.com,+14764684531,2024-06-15,ios,eu,new
U00011,John Green,john.green11@fooddash.com,+16105491946,2023-02-21,ios,asia,casual
U00012,Kenneth Ramirez,kenneth.ramirez12@fooddash.com,+18719375710,2023-11-04,web,us_west,new
U00013,Sarah Young,sarah.young13@fooddash.com,+19625408072,2024-08-03,android,asia,returning
U00014,Mark Moore,mark.moore14@fooddash.com,+17219279821,2023-03-12,android,asia,new
U00015,Charles Mendoza,charles.mendoza15@fooddash.com,+16322065818,2023-10-26,ios,asia,returning
U00016,Stephen Johnson,stephen.johnson16@fooddash.com,+18962921859,2024-06-13,web,eu,power
U00017,Amanda Anderson,amanda.anderson17@fooddash.com,+15008294150,2023-05-03,android,asia,casual
U00018,Kimberly Cook,kimberly.cook18@fooddash.com,+19803997281,2024-01-30,web,asia,new
U00019,Samantha Cook,samantha.cook19@fooddash.com,+18234337174,2023-04-29,ios,us_east,casual
U00020,Shirley Smith,shirley.smith20@fooddash.com,+18136438436,2024-01-15,ios,asia,casual
U00021,Michelle Walker,michelle.walker21@fooddash.com,+12595041154,2024-11-12,android,us_east,power
U00022,David Ross,david.ross22@fooddash.com,+17453109911,2023-04-10,android,asia,new
U00023,Shirley Cox,shirley.cox23@fooddash.com,+16334553384,2024-02-23,android,eu,power
U00024,Stephanie Bennett,stephanie.bennett24@fooddash.com,+18657264956,2023-12-07,web,us_west,new
U00025,David Baker,david.baker25@fooddash.com,+12214860684,2024-04-02,ios,us_east,returning
U00026,Sandra Rodriguez,sandra.rodriguez26@fooddash.com,+12326543670,2023-02-25,android,us_east,returning
U00027,Anna Taylor,anna.taylor27@fooddash.com,+19408930103,2023-07-08,android,eu,new
U00028,Richard James,richard.james28@fooddash.com,+16416944126,2023-11-26,ios,asia,new
U00029,Katherine Chavez,katherine.chavez29@fooddash.com,+13002016911,2023-11-09,android,eu,new
